Time_Period,Crop_type,State,Cost,Cost_of_Production,Operational_Cost,Fixed_Cost
2021_22,Paddy,Maharashtra,97597,4376,81228,26184
2021_22,Maize,Maharashtra,92343,1428,66158,26184
2021_22,Wheat,Maharashtra,69000,2814,53559,15360
2021_22,Jowar,Maharashtra,51536,3714,40158,11378
2021_22,Bajra,Maharashtra,72926,2696,58926,14000
2021_22,Sugarcane,Maharashtra,242598,235,178446,64151
2021_22,Gram,Maharashtra,60020,4688,43814,15844
2021_22,Groundnut,Maharashtra,116118,10294,96820,19300
2021_22,Soyabean,Maharashtra,70704,4755,53147,16758
2021_22,Cotton,Maharashtra,98962,8450,76303,18406
2020_21,Paddy,Maharashtra,88514,4098,72985,14504
2020_21,Maize,Maharashtra,89175,1487,65867,23308
2020_21,Wheat,Maharashtra,61886,2525,49945,1817
2020_21,Jowar,Maharashtra,49435,4388,38895,11122
2020_21,Bajra,Maharashtra,62228,2475,49475,12752
2020_21,Sugarcane,Maharashtra,260509,255,191798,68425
2020_21,Gram,Maharashtra,54181,4425,37617,15281
2020_21,Groundnut,Maharashtra,112410,8358,92430,19980
2020_21,Soyabean,Maharashtra,57190,4377,43575,11805
2020_21,Cotton,Maharashtra,80900,6445,63840,79372
2019_20,Paddy,Maharashtra,102420,4026,79200,14565
2019_20,Maize,Maharashtra,77057,1481,55476,21580
2019_20,Wheat,Maharashtra,60607,2856,46021,13380
2019_20,Jowar,Maharashtra,NULL,3256,41016,16050
2019_20,Bajra,Maharashtra,72926,2145,42362,15130
2019_20,Sugarcane,Maharashtra,242598,246,120852,56106
2019_20,Gram,Maharashtra,47160,4286,34404,12480
2019_20,Groundnut,Maharashtra,88680,7996,72752,15394
2019_20,Soyabean,Maharashtra,55474,4094,39600,14455
2019_20,Cotton,Maharashtra,84103,6126,62831,18368
2018_19,Paddy,Maharashtra,108044,3650,83195,18128
2018_19,Maize,Maharashtra,72300,1313,51083,21217
2018_19,Wheat,Maharashtra,63907,2477,47384,16220
2018_19,Jowar,Maharashtra,51150,3020,36622,13650
2018_19,Bajra,Maharashtra,61070,1680,44632,16380
2018_19,Sugarcane,Maharashtra,185156,215,132040,53116
2018_19,Gram,Maharashtra,43598,4364,30388,12050
2018_19,Groundnut,Maharashtra,87524,7694,71664,15860
2018_19,Soyabean,Maharashtra,48574,4058,34960,11590
2018_19,Cotton,Maharashtra,89570,6155,62408,22333
2017_18,Paddy,Maharashtra,88276,3020,69690,18197
2017_18,Maize,Maharashtra,74750,1058,52578,22172
2017_18,Wheat,Maharashtra,56000,2548,38830,17146
2017_18,Jowar,Maharashtra,50242,2670,35702,14480
2017_18,Bajra,Maharashtra,48500,2114,34787,13698
2017_18,Sugarcane,Maharashtra,231707,212,164934,66772
2017_18,Gram,Maharashtra,54076,4460,37514,16560
2017_18,Groundnut,Maharashtra,75509,6000,60639,14870
2017_18,Soyabean,Maharashtra,46155,34820,35940,10214
2017_18,Cotton,Maharashtra,82930,3495,63275,19657
